"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"esv_5306","Fungi","Agaricomycetes","Polyporales",NA,NA,NA,NA
"esv_19709","Fungi",NA,NA,NA,NA,NA,NA
"esv_19708","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_16558","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_2310","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis sp "
"esv_19703","Fungi","Basidiomycota","Cystobasidiomycetes",NA,NA,NA,NA
"esv_19702","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"esv_19707","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_1474","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"esv_18578","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_19704","Fungi",NA,NA,NA,NA,NA,NA
"esv_8661","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"esv_14976","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_11138","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_11139","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_8660","Fungi",NA,NA,NA,NA,NA,NA
"esv_11134","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cuniculitremaceae","Kockovaella","Kockovaella schimae "
"esv_11135","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis neophlyctidospora "
"esv_11136","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_11137","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"esv_11130","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_8663","Fungi","Agaricomycetes",NA,NA,NA,NA,NA
"esv_11132","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA
